timestamp,respondent_id,role,service,current_way,frequency,coordination_time,pain_points,free_slots_importance,reminders_usefulness,interest,barriers,missing_feature,comment
2026-04-27 10:05,R01,??????,"????????, ?????????",?????? ?????????; ??????,????????? ??? ? ?????,15-30 ?????,?????? ???????? ??????; ?? ????? ????????? ????; ????? ?????? ????????? ?????????,5,5,5,?? ??????? ??????? ????????? ?????????? ???? ?????? ???????,????????? ????????? ???? ? ??????? ???????,????? ????????????? ? ????????? ??????????
2026-04-27 10:12,R02,??????? ??????????,?????????,?????? ?????????; ??????? ??? ???????,????????? ??? ? ??????,5-15 ?????,????? ?????? ????????? ?????????; ?????? ???????? ??? ????????; ????? ?????? ? ??????,4,5,4,"?????, ??? ??????? ?? ????? ?????????? ?? ??????",?????????????? ??????????? ? ?????? ?????,????? ???????? ??????????? ??????? ?????????????
2026-04-27 10:24,R03,??????,?????-??????,?????? ?????????,????????? ??? ? ?????,5-15 ?????,?????? ???????? ??????; ?? ????? ????????? ????,5,4,5,???? ??????????? ????? ??????,?????? ????????? ????????? ?????,?????? ?? ??? ?????? ???????????
2026-04-27 10:37,R04,"? ??????????, ? ??????",????????,?????? ?????????; ??????-??????,????????? ??? ? ??????,15-30 ?????,?????? ???????? ??????; ???????? ??? ????????; ?? ????? ????????? ????,5,5,5,??????? ???????? ??? ???????? ???????,?????????? ? Telegram ? ??????????,????? ?????? ???????????? ????????????
2026-04-27 10:49,R05,??????,"?????????, ????",??????; ?????? ?????????,???? ?????? ???? ? ?????,?????? 30 ?????,?????? ???????? ??????; ????? ?????? ????????? ?????????,4,4,3,"?? ??????, ??? ??? ??????????? ????? ???",????? ??????????? ?? ?????????? ???????,"???????, ????? ?????????? ???? ??????????"
2026-04-27 11:02,R06,??????? ??????????,?????? ????????,?????? ?????????; ??????? ??? ???????,????????? ??? ? ??????,5-15 ?????,????? ?????? ? ??????; ???????? ??? ????????; ????? ?????? ????????? ?????????,5,5,5,???? ?????? ????????? ??????????,??????????? ???????? ? ???? ????????,????? ??????? ??????? ??????? ????
2026-04-27 11:18,R07,??????,?????????,?????? ?????????,????????? ??? ? ?????,15-30 ?????,?? ????? ????????? ????; ?????? ???????? ??????,5,4,4,?? ???? ??????? ????? ?????? ??????,?????? ??? ???????,??????? ?????? ????? ? ???? ?????
2026-04-27 11:31,R08,??????? ??????????,????????,??????? ??? ???????; ?????? ?????????,????????? ??? ? ??????,?????? 30 ?????,???????? ??? ????????; ????? ?????? ? ??????; ?? ????? ????????? ????,4,5,4,??????? ???????? ?? ?????????? Telegram,?????????????? ????????????? ??????,????? ??????????? ?????? ????????
2026-04-27 11:46,R09,??????,?????-??????,??????-??????; ?????? ?????????,????????? ??? ? ?????,?? 5 ?????,????? ?????? ? ??????,3,5,4,???? ?????????? ????? ???????? ????? ?????,??????????? ?? ???? ? ?? ???,????? ???????? ??????
2026-04-27 12:03,R10,??????,?????????,?????? ?????????,????????? ??? ? ??????,15-30 ?????,?????? ???????? ??????; ????? ?????? ????????? ?????????; ?? ????? ????????? ????,5,5,5,???? ?????????? ?? ????????? ??????????,??????? ????? ??????????? ???????,??????? ????????? ?????? ?? ????????? ??????
2026-04-27 12:20,R11,??????? ??????????,??????,??????; ?????? ?????????; ???????,????????? ??? ? ??????,15-30 ?????,???????? ??? ????????; ????? ?????? ????????? ?????????,4,4,4,???????? ? ?????? ??????,????????? ??????? ? ????? ????,?????? ?? ?????? ??????? ???????
2026-04-27 12:41,R12,??????,????????,?????? ?????????,????????? ??? ? ?????,5-15 ?????,?????? ???????? ??????; ?? ????? ????????? ????,5,4,5,???????? ? ???????????? ??????,?????? ? ??? ?????? ??????????,????? ??????? ?????? ??????
2026-04-27 13:05,R13,"? ??????????, ? ??????",?????????,?????? ?????????; ??????? ??? ???????,????????? ??? ? ??????,15-30 ?????,????? ?????? ? ??????; ?? ????? ????????? ????; ???????? ??? ????????,5,5,5,???? ?????? ????????? ?????? ????????,?????? ?????????? ?? Google Calendar,????? ?????? ??????? ?????
2026-04-27 13:22,R14,??????? ??????????,?????-??????,?????? ?????????; ??????,????????? ??? ? ??????,5-15 ?????,?????? ???????? ??????; ????? ?????? ? ??????; ????? ?????? ????????? ?????????,4,5,4,??????? ???????? ?????? ?????,????????? ? ??????? ?? ????????? ????,????? ?????? ???????? ??? ???????
2026-04-27 13:49,R15,??????,"?????????, ?????? ????????",?????? ?????????,????????? ??? ? ?????,15-30 ?????,?????? ???????? ??????; ?? ????? ????????? ????; ???????? ??? ????????,5,5,5,???? ????? ????? ???????,?????? ?? ?????????? ???????,?????? ?? ???????? ????????? ????????????
